Database??šAnnual by Province,,,,,,,,,,,,,,,,,,,,
Region£ºBeijing,,,,,,,,,,,,,,,,,,,,
Year£ºLATEST20,,,,,,,,,,,,,,,,,,,,
Indicators,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999
Per Capita Disposable Income Nationwide(yuan),"62,361.22","57,229.83","52,530.38","48,457.99","44,488.57","40,830.04",,,,,,,,,,,,,,
"Per Capita Disposable Income Nationwide, Growth Rate (The same period last year=100)(%)",,,,,9.0,,,,,,,,,,,,,,,
Per Capita Disposable Income of Urban Households(yuan),"67,989.89","62,406.34","57,275.31","52,859.17","48,531.85","44,563.93",,,,,,,,,,,,,,
"Per Capita Disposable Income of Urban Households, Growth Rate (The same period last year=100)(%)",,,,,8.9,,,,,,,,,,,,,,,
Per Capita Disposable Income of Rural Households(yuan),"26,490.29","24,240.49","22,309.52","20,568.72","18,867.30","17,101.18",,,,,,,,,,,,,,
"Per Capita Disposable Income of Rural Households, Growth Rate (The same period last year=100)(%)",,,,,10.3,,,,,,,,,,,,,,,
Per Capita Expenditure Nationwide(yuan),"39,842.69","37,425.34","35,415.75","33,802.77","31,102.89","29,175.63",,,,,,,,,,,,,,
"Per Capita Expenditure Nationwide, Growth Rate (The same period last year=100)(%)",,,,,6.6,,,,,,,,,,,,,,,
Per Capita Expenditure of Urban Households(yuan),"42,925.65","40,346.29","38,255.52","36,642.00","33,717.45","31,632.23",,,,,,,,,,,,,,
"Per Capita Expenditure of Urban Households, Growth Rate (The same period last year=100)(%)",,,,,6.6,,,,,,,,,,,,,,,
Per Capita Expenditure of Rural Households(yuan),"20,195.32","18,810.45","17,329.03","15,811.22","14,535.06","13,563.91",,,,,,,,,,,,,,
"Per Capita Expenditure of Rural Households, Growth Rate (The same period last year=100)(%)",,,,,7.2,,,,,,,,,,,,,,,
Data Sources£ºNational Bureau of Statistics,,,,,,,,,,,,,,,,,,,,
